molecule_chembl_id,canonical_smiles,standard_value,units
CHEMBL70824,CN(C)CCCN(C)S(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,5.0,uM
CHEMBL72893,COCCNS(=O)(=O)c1ccc(Nc2ncc(Sc3ccccc3)c(-c3cnc4ccccn34)n2)cc1,10000.0,uM
CHEMBL142788,Cc1nc2c(s1)C(=O)C=C(Nc1ccc(Br)cc1)C2=O,200000.0,uM
CHEMBL143570,COc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1,200000.0,uM
CHEMBL38694,Cc1nc2c(s1)C(=O)C=C(Nc1ccc(Cl)cc1)C2=O,200000.0,uM
CHEMBL72509,Clc1cccc(Nc2nccc(-c3cnc4ccccn34)n2)c1,5.0,uM
CHEMBL70808,COCCNS(=O)(=O)c1ccc(Nc2ncc(Br)c(-c3cnc4ccccn34)n2)cc1,3.0,uM
CHEMBL419634,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccc(C#N)cn34)n2)cc1,3.0,uM
CHEMBL30432,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,8000.0,uM
CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,250000.0,uM
CHEMBL323015,Cc1cc(C)nc(Sc2cc(=O)c3c(O)cc(O)c(C4CCN(C)CC4O)c3o2)n1,40400.0,uM
CHEMBL102622,Cc1nc2ccccn2c1-c1ccnc(NC(=O)C(F)(F)F)n1,95000.0,uM
CHEMBL317445,Cc1nc2ccccn2c1-c1ccnc(NC(=O)Nc2ccccc2)n1,10000.0,uM
CHEMBL112050,CN1CCC(c2c(O)cc(O)c3c(=O)cc(Sc4ccccc4)oc23)C(O)C1,6590.0,uM
CHEMBL113544,CN1CCC(c2c(O)cc(O)c3c(=O)cc(Sc4ccccc4Cl)oc23)C(O)C1,2100.0,uM
CHEMBL112582,CN1CCC(c2c(O)cc(O)c3c(=O)cc(SC(C)(C)C)oc23)C(O)C1,1070.0,uM
CHEMBL102926,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,32.0,uM
CHEMBL326843,CCSc1cc(=O)c2c(O)cc(O)c(C3CCN(C)CC3O)c2o1,3930.0,uM
CHEMBL99842,CC(=O)Nc1nccc(-c2c(C)nc3ccccn23)n1,2900.0,uM
CHEMBL100979,Cc1nc2ccccn2c1-c1ccnc(N)n1,4000.0,uM
CHEMBL326275,CN1CCC(c2c(O)cc(O)c3c(=O)cc(Oc4ccccc4Cl)oc23)C(O)C1,2110.0,uM
CHEMBL103355,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1,6.0,uM
CHEMBL340935,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2cccnc21,2439.0,uM
CHEMBL340776,O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCn1cc2c2cccnc21,10000.0,uM
CHEMBL340259,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2ccccc21,992.0,uM
CHEMBL337642,O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCOCCn1cc2c2cccnc21,10000.0,uM
CHEMBL303958,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,2200.0,uM
CHEMBL101801,NC(=O)c1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1,34.0,uM
CHEMBL319709,NC(=O)c1ccc(Nc2nc(N)cc(OCC3CCCCC3)n2)cc1,59000.0,uM
CHEMBL322568,CSc1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1,120.0,uM
CHEMBL318999,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(OCC2CCCCC2)c1N=O,1.1,uM
CHEMBL319467,NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,5.4,uM
CHEMBL269881,Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,17000.0,uM
CHEMBL104467,Nc1cc(OCC2CCCCC2)nc(Nc2ccc(S(N)(=O)=O)cc2)n1,2900.0,uM
CHEMBL107530,Nc1nc(Nc2cccc(Br)c2)nc(OCC2CCCCC2)c1N=O,500.0,uM
CHEMBL102636,COc1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1,220.0,uM
CHEMBL1276127,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,2200.0,uM
CHEMBL599552,O=C1/C(=C2\Nc3ccccc3C2=O)Nc2ccccc21,70000.0,uM
CHEMBL289422,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@@H]3O1,540.0,uM
CHEMBL71402,Nc1cc(OCC2CCCCC2)nc(N)n1,10000.0,uM
CHEMBL405551,c1nc(OCC2CCCCC2)c2nc[nH]c2n1,13000.0,uM
CHEMBL94794,Cn1cnc2c(OCC3CCCCC3)nc(N)nc21,100000.0,uM
CHEMBL281957,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,1000.0,uM
CHEMBL360573,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(C#N)cnn23)cc1,7.0,uM
CHEMBL367150,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(Cl)cnn23)cc1,8.0,uM
CHEMBL178785,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(Br)cnn23)cc1,10.0,uM
CHEMBL181293,CCN[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)N(C)C)cc3)n3ncc(C(C)C)c3n2)CC1,61.0,uM
CHEMBL180714,CCN(CC)[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)N(C)C)cc3)n3ncc(C(C)C)c3n2)CC1,92.0,uM
CHEMBL180814,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(O[C@H]3CC[C@H](N)CC3)nc12,17.0,uM
CHEMBL181606,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(NC3CCCC(N)C3)nc12,2100.0,uM
CHEMBL361231,CC(C)COc1cc(Nc2ccc(S(=O)(=O)N(C)C)cc2)n2ncc(C(C)C)c2n1,1200.0,uM
CHEMBL178268,CC(C)COc1cc(Nc2ccc(S(C)(=O)=O)cc2)n2ncc(C(C)C)c2n1,1200.0,uM
CHEMBL178769,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(Br)cnn23)cc1Cl,2.0,uM
CHEMBL181114,N[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)c4cccs4)cc3)n3ncc(Cl)c3n2)CC1,11.0,uM
CHEMBL361833,N[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)n3ncc(Br)c3n2)CC1,16.0,uM
CHEMBL361348,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(N[C@H]3CC[C@H](N)CC3)nc12,59.0,uM
CHEMBL178179,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(C4CCCC4)cnn23)cc1,4.0,uM
CHEMBL360878,CCCCCC(=O)Nc1ncnc2oc(-c3ccc(OC)cc3)cc12,19000.0,uM
CHEMBL182560,COc1ccc(-c2cc3c(NC(=O)CCSC)ncnc3o2)cc1,20000.0,uM
CHEMBL183077,COc1ccc(-c2cc3c(NC(=O)C(C)C)ncnc3o2)cc1,21000.0,uM
CHEMBL362030,COc1ccc(-c2cc3c(NC(=O)C4CC4)ncnc3o2)cc1,20000.0,uM
CHEMBL181959,COc1ccc(-c2cc3c(NC(=O)C4CCCC4)ncnc3o2)cc1,19000.0,uM
CHEMBL182891,COc1ccc(-c2cc3c(NC(=O)CC4CCCC4)ncnc3o2)cc1,19000.0,uM
CHEMBL360340,COc1ccc(-c2cc3c(NC(=O)C4CCCCC4)ncnc3o2)cc1,20000.0,uM
CHEMBL181147,COc1ccc(-c2cc3c(NC(=O)N4CCOCC4)ncnc3o2)cc1,20000.0,uM
CHEMBL181856,COc1ccc(-c2cc3c(NC(=O)N4CCCC4)ncnc3o2)cc1,21000.0,uM
CHEMBL427325,COc1ccc(-c2cc3c(NC(=O)c4cccc(F)c4)ncnc3o2)cc1,21000.0,uM
CHEMBL183742,COc1ccc(-c2cc3c(NC(=O)c4ccco4)ncnc3o2)cc1,20000.0,uM
CHEMBL360534,O=C(Nc1ncnc2oc(-c3ccccc3)cc12)C1CC1,21000.0,uM
CHEMBL182904,O=C(Nc1ncnc2oc(-c3ccc(Cl)cc3)cc12)C1CC1,20000.0,uM
CHEMBL182283,Cc1ccc(-c2cc3c(NC(=O)C4CC4)ncnc3o2)cc1,21000.0,uM
CHEMBL183504,O=C(Nc1ncnc2oc(-c3ccc(F)cc3)cc12)C1CC1,19000.0,uM
CHEMBL361196,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CC1,440.0,uM
CHEMBL183038,O=C(Nc1ncnc2oc(-c3ccccc3)cc12)C1CCCC1,19000.0,uM
CHEMBL183171,O=C(Nc1ncnc2oc(-c3ccc(Cl)cc3)cc12)C1CCCC1,20000.0,uM
CHEMBL182007,Cc1ccc(-c2cc3c(NC(=O)C4CCCC4)ncnc3o2)cc1,20000.0,uM
CHEMBL185922,O=C(Nc1ncnc2oc(-c3ccc(F)cc3)cc12)C1CCCC1,19000.0,uM
CHEMBL182419,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CCCC1,450.0,uM
CHEMBL364623,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,25000.0,uM
CHEMBL363058,CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,3400.0,uM
CHEMBL362588,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,5400.0,uM
CHEMBL186290,Cc1cc2c3c(c1)c(C1=C(c4cnc5ccccn45)C(=O)NC1=O)cn3CCN(C(=O)N1CCCCC1)C2,20000.0,uM
CHEMBL178737,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,5300.0,uM
CHEMBL362814,CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,2100.0,uM
CHEMBL362558,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,2800.0,uM
CHEMBL1276446,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,10.0,uM
CHEMBL191845,O=C1NC2C=CC=CC2/C1=C/Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,1000.0,uM
CHEMBL195218,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCCCS(C)(=O)=O)c(C(C)C)c23)c(F)cc1F,50000.0,uM
CHEMBL370266,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCC4CCCO4)c(C(C)C)c23)c(F)cc1F,50000.0,uM
CHEMBL365318,CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C)o4)c(C(C)C)c23)c(F)cc1F,50000.0,uM
CHEMBL194498,CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C(F)F)o4)c(C(C)C)c23)c(F)cc1F,50000.0,uM
CHEMBL195903,CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C(F)(F)S(C)(=O)=O)o4)c(C(C)C)c23)c(F)cc1F,50000.0,uM
CHEMBL194436,O=C(Nc1ccc(Cl)c(COc2cccnc2)c1)c1cc(F)cc(N2CCOCC2)c1,10000.0,uM
CHEMBL193456,CN(C)S(=O)(=O)c1ccc(Nc2ccc(C(=O)c3c(F)cccc3F)c(N)n2)cc1,500.0,uM
CHEMBL193643,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)ccc1C(=O)c1c(F)cccc1F,180.0,uM
CHEMBL2113092,CCCCOc1cc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C(=O)c1c(F)cccc1F,84.0,uM
CHEMBL383172,Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc(NC2CCCC2)c1C#N,100000.0,uM
CHEMBL120077,COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,10000.0,uM
CHEMBL197077,NC1=NONC1N1N=NC(C(=O)N/N=C/c2ccncc2)C1CN1CCCCC1,96000.0,uM
