,SMILES,Name,MinimizedAffinity,MinimizedRMSD,Code,Predicted
128,COc1ccc(CCNc2nc(Nc3ccc4cn[nH]c4c3)nc(n2)N5CCC(O)CC5)cc1OC,MCULE-5235317977,-6.39233,4.80735,comp129,0
129,OC(=O)c1ccc2[nH]c(nc2c1)N3C(C(=C(O)C3=O)C(=O)CCc4ccccc4)c5ccc(O)cc5,MCULE-3423107975,-6.33759,1.1379,comp130,0
131,OC(=O)c1cc(NC(=O)c2csc(NC(=O)OCc3ccccc3)n2)ccc1O,MCULE-9367253237,-6.25622,2.33939,comp132,0
133,CCCNc1nc(Nc2ccc(OC)c(c2)[N+](=O)[O-])nc(n1)N(C)Cc3ccccc3,MCULE-9759310535,-6.22116,3.33242,comp134,0
134,Cc1c(Nc2nc(NCCCn3ccnc3)nc(n2)N4CCCC4)cccc1[N+](=O)[O-],MCULE-7594787441,-6.11407,6.27277,comp135,0
135,Fc1ccc(Cc2nc(NC(=O)c3cc(ccc3Cl)S(=O)(=O)N4CCOCC4)n[nH]2)cc1,MCULE-2326413617,-6.1036,2.87758,comp136,0
136,CC1CCN(CC1)c2nc(NCCCn3ccnc3)nc(Nc4ccc(Cl)c(c4)[N+](=O)[O-])n2,MCULE-3078373004,-6.04834,6.05864,comp137,0
137,COc1ccc(N\C=C\2/C(=O)NC(=O)N(C2=O)c3ccccc3)cc1CN4C(=O)c5ccccc5C4=O,MCULE-8942242513 PubChem-72161298,-5.99701,2.62228,comp138,0
139,Fc1ccc(Cc2nc(NC(=O)c3cc(ccc3Cl)S(=O)(=O)N4CCCCC4)n[nH]2)cc1,MCULE-6029557275,-5.6965,2.96355,comp140,0
140,COc1ccc2[nH]c3C(NCCc3c2c1)C4=C(O)N=C(O)N(C4=O)c5ccc(cc5)C(=O)O,MCULE-2566021035 MolPort-000-796-780,-5.68091,2.92591,comp141,0
141,COc1ccc(CNc2nc(Nc3ccc4[nH]ncc4c3)nc(n2)N(C)CCO)cc1OC,MCULE-9213619583,-5.39231,5.513,comp142,0
142,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CCC(O)CC5)cc1OC,MCULE-6669447260,-5.1645,5.93382,comp143,0
143,CCc1ccc(Nc2nc(NCCCn3ccnc3)nc(n2)N4CCN(C)CC4)cc1[N+](=O)[O-],MCULE-8921261543,-5.07798,6.1969,comp144,0
144,COc1ccc(CNc2nc(Nc3ccc4cn[nH]c4c3)nc(n2)N5CCC(CO)CC5)cc1OC,MCULE-6554456245,-4.79389,6.51359,comp145,0
145,CN(CCO)c1nc(NCCc2c[nH]c3ccccc23)nc(Nc4ccc(Cl)c(c4)[N+](=O)[O-])n1,MCULE-3591252460,-4.62364,4.49185,comp146,0
146,COc1ccc(CCNc2nc(Nc3ccc4[nH]ncc4c3)nc(n2)N5CCCCC5)cc1OC,MCULE-1779923496,-4.58267,4.45459,comp147,0
147,Cc1c(Nc2nc(NCCCn3ccnc3)nc(n2)N4CCC(CC4)C(=O)N)cccc1[N+](=O)[O-],MCULE-4725721569,-4.50905,5.95052,comp148,0
148,CN1CCN(CC1)c2nc(NCCCCc3ccccc3)nc(Nc4cccc(c4C)[N+](=O)[O-])n2,MCULE-8811369836,-4.50197,5.89937,comp149,0
150,NC(=O)C1CCN(CC1)c2nc(NCCCn3ccnc3)nc(Nc4cccc(c4)[N+](=O)[O-])n2,MCULE-2966847881,-3.019,6.43213,comp151,0
151,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CCCCC5)cc1OC,MCULE-5062807990,-2.92469,4.57379,comp152,0
152,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CC(C)OC(C)C5)cc1OC,MCULE-5022569155,-1.89977,5.61612,comp153,0
153,COc1ccc(CNc2nc(Nc3ccc4cc[nH]c4c3)nc(n2)N5CCC(O)CC5)cc1OC,MCULE-2268822338,-1.30069,5.06477,comp154,0
154,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CC(C)OC(C)C5)cc1OC,MCULE-5022569155,0.10211,5.21975,comp155,0
155,COc1ccc(CNc2nc(Nc3ccc4cc[nH]c4c3)nc(n2)N5CCC(CO)CC5)cc1OC,MCULE-3542732868,3.31934,5.06634,comp156,0
156,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CCC(C)CC5)cc1OC,MCULE-6672979484,9.02044,3.42509,comp157,0
157,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CCC(C)CC5)cc1OC,MCULE-6672979484,9.55271,3.57793,comp158,0
159,CCN1CCN(CC1)c2nc(NCc3ccc(OC)c(OC)c3)nc(Nc4ccc5[nH]ncc5c4)n2,MCULE-9648654175,20.7033,2.48069,comp160,0
160,COc1ccc(CNc2nc(Nc3ccc4[nH]ncc4c3)nc(n2)N5CCC(CO)CC5)cc1OC,MCULE-6214682016,20.886,2.45052,comp161,0
161,COc1ccc(CNc2nc(Nc3ccc4cc[nH]c4c3)nc(n2)N5CC(C)OC(C)C5)cc1OC,MCULE-8330986354,23.6494,2.0506,comp162,0
162,COc1ccc(CCNc2nc(Nc3ccc4cn[nH]c4c3)nc(n2)N5CCC(C)CC5)cc1OC,MCULE-8129917106,23.9604,2.61605,comp163,0
163,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CC(C)CC(C)C5)cc1OC,MCULE-9909490887,24.7218,2.63336,comp164,0
164,Fc1ccc(Cc2nc(NC(=O)[C@H]3CCCN(C3)c4ncccn4)n[nH]2)cc1,LN00436045 MCULE-9637136534 MolPort-035-703-430 PubChem-91639776,-9.45602,1.8963,comp165,0
165,COc1ccc(CCc2nc(NC(=O)c3ccc4OCCCOc4c3)n[nH]2)cc1OC,LN00417405 MCULE-2893737228 MolPort-028-852-811 PubChem-71705062,-8.5834,1.93978,comp166,0
167,Cc1nc(Nc2ccc(O)c(c2)C(=O)O)nc(O)c1Cc3ccccc3,LN01929169 ZINC000025497838,-8.44849,1.47361,comp168,0
168,Cc1ccc(Cc2c(C)nc(Nc3ccc(O)c(c3)C(=O)O)nc2O)cc1,LN01933993,-8.39251,1.50426,comp169,0
169,Cc1nc(Nc2ccc(O)c(c2)C(=O)O)nc(O)c1Cc3ccc(Cl)cc3,LN01929170 ZINC000025497853,-8.15671,1.9811,comp170,0
170,Cc1nc(Nc2ccc(O)c(c2)C(=O)O)nc(O)c1Cc3ccc(Cl)cc3,LN01929170 ZINC000025497853,-8.08167,1.56142,comp171,0
